;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - COMPLETE50;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-Vaw(Pmin,+,Unit);936,923016;122,420768;85,641106;71,646999;62,851050;55,422437;
RSearch-w-Vaw(Pmin,+,Pmin);330,287734;62,541579;68,024964;38,808301;34,324346;31,121733;
RSearch-w-Vaw(Pmin,+,Dmin);79,746782;51,891589;52,324951;52,976610;41,096715;37,301651;
RSearch-w-Vaw(Dmin,+,No);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(Dmin,+,Unit);936,923016;122,427878;85,641106;71,646999;62,851050;55,420151;
RSearch-w-Vaw(Dmin,+,Pmin);330,778585;67,013398;51,694157;38,944291;34,258116;31,685502;
RSearch-w-Vaw(Dmin,+,Dmin);79,891091;60,766627;56,974225;45,906207;44,230545;36,779624;
RSearch-w-Vaw(No,x,No);325,308828;113,731751;62,727197;39,678009;43,517755;31,278944;
RSearch-w-Vaw(No,x,Unit);391,580534;163,326508;132,071200;107,196945;100,270343;84,652640;
RSearch-w-Vaw(No,x,Pmin);325,308828;113,731751;62,727197;39,678009;43,517755;31,278944;
RSearch-w-Vaw(No,x,Dmin);74,266014;81,505132;84,689013;66,376351;61,716338;53,590427;
RSearch-w-Vaw(Unit,x,No);318,254740;158,273380;119,568867;100,019090;87,746391;79,105983;
RSearch-w-Vaw(Unit,x,Unit);185,621355;68,011989;43,927174;32,595863;26,393369;22,149562;
RSearch-w-Vaw(Unit,x,Pmin);318,254740;158,273380;119,568867;100,019090;87,746391;79,105983;
RSearch-w-Vaw(Unit,x,Dmin);474,394174;149,255179;112,675674;100,074892;77,493037;65,214694;
RSearch-w-Vaw(Pmin,x,No);325,308828;113,731751;62,727197;39,678009;43,517755;31,278944;
RSearch-w-Vaw(Pmin,x,Unit);391,580534;163,326508;132,071200;107,196945;100,270343;84,652640;
RSearch-w-Vaw(Pmin,x,Pmin);325,308828;113,731751;62,727197;39,678009;43,517755;31,278944;
RSearch-w-Vaw(Pmin,x,Dmin);74,266014;81,505132;84,689013;66,376351;61,716338;53,590427;
RSearch-w-Vaw(Dmin,x,No);325,526657;63,474731;51,555664;39,572443;45,258549;31,288326;
RSearch-w-Vaw(Dmin,x,Unit);391,580534;163,326508;132,071200;107,196945;100,270343;84,652640;
RSearch-w-Vaw(Dmin,x,Pmin);325,526657;63,474731;51,555664;39,572443;45,258549;31,288326;
RSearch-w-Vaw(Dmin,x,Dmin);74,120486;89,822073;76,462167;74,216804;58,837689;51,543527;


QMI - StdDev
;1;4;7;10;13;16;
RSearch-NCount;2,280567;1,145514;0,233271;0,113407;0,173213;0,089179;
RSearch-Vaw;10,702361;17,081198;9,165693;9,250413;3,703924;4,034713;
RSearch-LRTA*-unit;0,818466;0,580570;0,193878;0,143467;0,106459;0,049562;
RSearch-Full-LRTA*;0,045714;0,007702;0,010091;0,004317;0,006902;0,004334;
RSearch-w-NC(No,+,No);0,074089;0,011372;0,010390;0,017381;0,003106;0,007150;
RSearch-w-NC(No,+,Unit);281,105290;17,599590;12,584166;13,686002;11,837528;1,600033;
RSearch-w-NC(No,+,Pmin);4,494935;1,784163;4,003058;1,514223;9,800401;3,735481;
RSearch-w-NC(No,+,Dmin);0,074089;0,011372;0,010390;0,017381;0,003106;0,007150;
RSearch-w-NC(Unit,+,No);0,309242;0,202722;0,208688;0,116888;0,420968;2,683471;
RSearch-w-NC(Unit,+,Unit);0,196552;0,081064;0,073801;0,055439;0,102598;0,158929;
RSearch-w-NC(Unit,+,Pmin);0,516537;0,388026;0,284212;0,426185;0,534430;0,625717;
RSearch-w-NC(Unit,+,Dmin);0,309242;0,202722;0,208688;0,116888;0,420968;2,683471;
RSearch-w-NC(Pmin,+,No);0,065145;0,019485;0,014576;0,023801;0,005036;0,010241;
RSearch-w-NC(Pmin,+,Unit);281,105290;17,599590;12,584166;13,686002;11,837528;1,600033;
RSearch-w-NC(Pmin,+,Pmin);3,230947;2,625560;3,848251;7,972335;7,561360;7,558329;
RSearch-w-NC(Pmin,+,Dmin);0,065145;0,019485;0,014576;0,023801;0,005036;0,010241;
RSearch-w-NC(Dmin,+,No);0,074089;0,011372;0,010390;0,017381;0,003106;0,007150;
RSearch-w-NC(Dmin,+,Unit);281,105290;17,599590;12,584166;13,686002;11,837528;1,600033;
RSearch-w-NC(Dmin,+,Pmin);4,494935;1,784163;4,003058;1,514223;9,800401;3,735481;
RSearch-w-NC(Dmin,+,Dmin);0,074089;0,011372;0,010390;0,017381;0,003106;0,007150;
RSearch-w-NC(No,x,No);0,739270;5,889140;8,813469;3,058505;12,198817;7,604698;
