;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - ISLANDS;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-Vaw(Unit,+,No);46,740133;70,536799;105,679894;132,501170;101,723154;119,283528;
RSearch-w-Vaw(Unit,+,Unit);0,000000;0,000000;0,000000;134,566861;79,165649;19.976,010162;
RSearch-w-Vaw(Unit,+,Pmin);4.185,628861;5.686,568125;5.319,632905;5.841,983341;5.781,523121;6.016,368406;
RSearch-w-Vaw(Unit,+,Dmin);46,740133;70,536799;105,679894;132,501170;101,723154;119,283528;
RSearch-w-Vaw(Pmin,+,No);46,740133;55,425626;96,307840;139,462396;101,523593;100,857523;
RSearch-w-Vaw(Pmin,+,Unit);0,000000;0,000000;0,000000;0,000000;19.964,104602;24.455,379037;
RSearch-w-Vaw(Pmin,+,Pmin);1.459,797602;5.046,618218;3.258,294376;2.579,384004;2.098,104344;2.573,194792;
RSearch-w-Vaw(Pmin,+,Dmin);46,740133;55,425626;96,307840;139,462396;101,523593;100,857523;
RSearch-w-Vaw(Dmin,+,No);48,168039;84,365870;70,609914;80,135885;75,626979;52,837108;
RSearch-w-Vaw(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Dmin,+,Pmin);1.072,081788;1.894,412796;3.267,344206;5.493,150877;3.151,133955;5.675,388727;
RSearch-w-Vaw(Dmin,+,Dmin);48,168039;84,365870;70,609914;80,135885;75,626979;52,837108;
RSearch-w-Vaw(No,x,No);1.597,768269;4.067,287283;2.568,319404;4.687,553716;7.794,672216;5.079,295030;
RSearch-w-Vaw(No,x,Unit);26,723772;109,047879;41,634601;98,548262;67,036110;84,740545;
RSearch-w-Vaw(No,x,Pmin);1.597,768269;3.635,649191;2.173,443112;4.259,958995;8.034,702160;5.079,295030;
RSearch-w-Vaw(No,x,Dmin);46,740133;55,425626;60,421850;87,233021;86,735460;85,217369;
RSearch-w-Vaw(Unit,x,No);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Unit,x,Unit);127,536661;21,784398;16,067358;16,596385;7,099296;4,516636;
RSearch-w-Vaw(Unit,x,Pmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Pmin,x,No);1.597,768269;4.065,581159;2.568,319404;4.687,553716;7.794,672216;5.079,295030;
RSearch-w-Vaw(Pmin,x,Unit);26,723772;109,047879;41,634601;98,548262;67,036110;84,740545;
RSearch-w-Vaw(Pmin,x,Pmin);1.597,768269;3.635,649191;2.173,443112;4.259,958995;7.772,784237;5.076,259591;
RSearch-w-Vaw(Pmin,x,Dmin);46,740133;55,425626;60,421850;87,233021;86,735460;85,217369;
RSearch-w-Vaw(Dmin,x,No);766,646046;1.729,186051;4.033,274551;2.123,548201;3.742,563752;7.713,712320;
RSearch-w-Vaw(Dmin,x,Unit);26,723772;109,047879;41,634601;98,548262;67,036110;84,740545;
RSearch-w-Vaw(Dmin,x,Pmin);766,646046;1.729,186051;4.033,274551;2.123,548201;3.742,563752;7.713,712320;
RSearch-w-Vaw(Dmin,x,Dmin);48,168039;44,156087;147,979728;94,926077;109,590876;99,509999;


QMI - Mean
;1;4;7;10;13;16;
RSearch-NCount;295,474157;94,587438;64,270192;52,342873;47,064468;43,364995;
RSearch-Vaw;204,446056;101,194197;75,383774;63,581660;55,534504;49,975706;
RSearch-LRTA*-unit;265,854399;72,358276;43,218463;31,241137;24,590208;20,419765;
RSearch-Full-LRTA*;254,424009;74,939133;46,057223;34,273857;27,016152;22,956891;
RSearch-w-NC(No,+,No);432,713190;109,328223;62,812032;51,696599;44,562539;42,365932;
RSearch-w-NC(No,+,Unit);2.191,390464;844,240084;586,861814;411,214985;278,860556;136,493683;
RSearch-w-NC(No,+,Pmin);1.531,714635;611,616754;325,187468;87,711058;60,903861;55,254074;
RSearch-w-NC(No,+,Dmin);432,713190;109,328223;62,812032;51,696599;44,562539;42,365932;
RSearch-w-NC(Unit,+,No);285,332773;90,398740;61,512338;51,158375;47,456621;44,750692;
RSearch-w-NC(Unit,+,Unit);2.236,490288;896,170193;508,034546;419,809021;345,276589;246,934932;
RSearch-w-NC(Unit,+,Pmin);1.156,841317;466,335681;232,516650;102,493777;151,459014;142,061384;
RSearch-w-NC(Unit,+,Dmin);285,332773;90,398740;61,512338;51,158375;47,456621;44,750692;
RSearch-w-NC(Pmin,+,No);319,787389;108,207972;86,573948;76,083664;70,891545;63,615983;
RSearch-w-NC(Pmin,+,Unit);2.118,017144;800,843714;580,256563;339,433933;179,560642;175,264617;
RSearch-w-NC(Pmin,+,Pmin);1.304,469605;523,806521;264,158468;256,670961;182,052953;126,473362;
RSearch-w-NC(Pmin,+,Dmin);321,129723;112,410322;94,106302;71,601041;69,516461;64,610811;
RSearch-w-NC(Dmin,+,No);432,713190;109,328223;62,812032;51,696599;44,562539;42,365932;
RSearch-w-NC(Dmin,+,Unit);2.191,390464;844,240084;586,861814;411,214985;278,860556;136,493683;
RSearch-w-NC(Dmin,+,Pmin);1.533,441557;607,314227;326,458434;88,598456;59,729589;55,313491;
RSearch-w-NC(Dmin,+,Dmin);432,713190;109,328223;62,812032;51,696599;44,562539;42,365932;
RSearch-w-NC(No,x,No);1.303,761446;489,739785;292,728839;203,786476;111,138022;122,295708;
RSearch-w-NC(No,x,Unit);282,283069;87,027941;57,402175;45,022676;39,986090;37,516710;
RSearch-w-NC(No,x,Pmin);1.314,797035;508,382337;301,075357;168,557365;123,968959;132,213005;
RSearch-w-NC(No,x,Dmin);315,040339;110,986491;89,383683;73,412602;68,514178;64,968374;
RSearch-w-NC(Unit,x,No);1.854,861636;866,892332;609,114851;481,377372;399,075549;324,353269;
RSearch-w-NC(Unit,x,Unit);307,444629;74,408405;38,142345;24,413586;17,662671;13,646265;
RSearch-w-NC(Unit,x,Pmin);1.854,861636;866,892332;609,114851;481,377372;399,075549;324,353269;
RSearch-w-NC(Unit,x,Dmin);2.183,942656;876,369856;621,524958;463,061229;371,847524;307,681879;
RSearch-w-NC(Pmin,x,No);1.302,557735;501,719489;278,884489;198,777119;123,653612;107,024450;
