;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - MAPA;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-NC(Dmin,x,Dmin);253,585804;52,212642;30,322269;69,190751;25,989229;44,125276;
RSearch-w-Vaw(No,+,No);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(No,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(No,+,Pmin);3.476,680509;2.038,571598;5.247,209902;1.806,220983;2.712,061400;5.290,461810;
RSearch-w-Vaw(No,+,Dmin);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(Unit,+,No);152,395013;106,749426;143,175976;57,570826;73,475438;112,959108;
RSearch-w-Vaw(Unit,+,Unit);0,000000;90,524251;35,668473;36,569933;33,785204;22,535306;
RSearch-w-Vaw(Unit,+,Pmin);3.822,531287;3.876,580421;3.782,868890;3.414,644075;4.815,291451;3.852,587110;
RSearch-w-Vaw(Unit,+,Dmin);152,395013;106,749426;143,175976;57,570826;73,475438;112,959108;
RSearch-w-Vaw(Pmin,+,No);160,639970;78,787309;91,197807;89,195516;79,938476;60,023329;
RSearch-w-Vaw(Pmin,+,Unit);0,000000;0,000000;364,800000;10,564090;1.832,727519;42,800000;
RSearch-w-Vaw(Pmin,+,Pmin);4.658,799476;4.586,412472;1.445,901048;3.970,598111;2.529,305786;1.178,023599;
RSearch-w-Vaw(Pmin,+,Dmin);160,639970;86,506416;91,197807;81,329945;79,938476;60,023329;
RSearch-w-Vaw(Dmin,+,No);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(Dmin,+,Unit);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Dmin,+,Pmin);3.476,680509;2.038,571598;5.412,273925;1.700,657473;2.712,061400;5.290,461810;
RSearch-w-Vaw(Dmin,+,Dmin);167,646056;96,206860;50,647804;121,387973;178,652064;92,789224;
RSearch-w-Vaw(No,x,No);4.494,733478;2.686,088785;3.323,213722;4.766,216462;2.305,809238;607,693804;
RSearch-w-Vaw(No,x,Unit);117,746507;142,776188;114,475500;105,237636;120,512904;66,098714;
RSearch-w-Vaw(No,x,Pmin);4.494,733478;4.752,986665;3.323,213722;1.689,398283;2.305,809238;607,693804;
RSearch-w-Vaw(No,x,Dmin);160,639970;140,610668;147,970808;162,125384;126,119626;98,861519;
RSearch-w-Vaw(Unit,x,No);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Unit,x,Unit);78,322411;23,625410;27,132269;8,863408;4,223742;4,874423;
RSearch-w-Vaw(Unit,x,Pmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Unit,x,Dmin);0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
RSearch-w-Vaw(Pmin,x,No);4.494,733478;2.686,088785;3.323,213722;4.766,216462;2.305,809238;607,693804;
RSearch-w-Vaw(Pmin,x,Unit);117,746507;142,776188;114,475500;105,237636;120,512904;66,098714;
RSearch-w-Vaw(Pmin,x,Pmin);4.494,733478;4.752,986665;3.884,626314;4.766,216462;3.538,248267;1.623,416028;
RSearch-w-Vaw(Pmin,x,Dmin);160,639970;140,610668;147,970808;162,125384;126,119626;98,861519;
RSearch-w-Vaw(Dmin,x,No);3.671,329100;3.010,843005;4.346,676708;3.264,963485;2.427,938467;2.391,876836;
RSearch-w-Vaw(Dmin,x,Unit);117,746507;142,776188;114,475500;105,237636;120,512904;66,098714;
RSearch-w-Vaw(Dmin,x,Pmin);3.671,329100;2.318,375414;4.346,676708;3.264,963485;2.427,938467;2.391,876836;
RSearch-w-Vaw(Dmin,x,Dmin);156,496134;74,920224;222,854751;156,407928;148,342037;180,750214;


QMI - Mean
;1;4;7;10;13;16;
RSearch-NCount;315,795410;88,914776;57,210960;44,686805;38,424960;34,183708;
RSearch-Vaw;265,137041;134,274724;99,743927;81,968325;65,850598;64,473057;
RSearch-LRTA*-unit;325,566636;89,168166;53,662125;39,157056;31,051114;25,828631;
RSearch-Full-LRTA*;238,024160;72,194916;45,742886;34,847673;28,261106;24,273510;
RSearch-w-NC(No,+,No);310,299354;82,189635;49,994215;38,088435;32,188859;28,745994;
RSearch-w-NC(No,+,Unit);1.755,860661;862,478035;613,372852;486,258713;431,733003;364,098794;
RSearch-w-NC(No,+,Pmin);1.199,351055;532,860617;339,584045;272,874209;200,990872;185,552337;
RSearch-w-NC(No,+,Dmin);310,299354;82,189635;49,994215;38,088435;32,188859;28,745994;
RSearch-w-NC(Unit,+,No);265,156840;84,652242;59,427089;50,031239;44,688274;42,349806;
RSearch-w-NC(Unit,+,Unit);274,970722;80,097683;50,237287;38,046989;31,208508;26,469071;
RSearch-w-NC(Unit,+,Pmin);642,630492;276,128101;202,168184;162,109278;152,589831;134,447246;
RSearch-w-NC(Unit,+,Dmin);265,156840;84,652242;59,427089;50,031239;44,688274;42,349806;
RSearch-w-NC(Pmin,+,No);259,514661;85,797528;62,301491;52,691426;49,182051;44,984606;
RSearch-w-NC(Pmin,+,Unit);1.628,663326;656,550187;346,050665;313,977102;337,553001;290,755622;
RSearch-w-NC(Pmin,+,Pmin);827,709839;350,997510;268,297905;223,805648;201,899622;182,667463;
RSearch-w-NC(Pmin,+,Dmin);259,212845;88,351158;63,695549;54,858249;48,943858;46,724281;
RSearch-w-NC(Dmin,+,No);310,299354;82,189635;49,994215;38,088435;32,188859;28,745994;
RSearch-w-NC(Dmin,+,Unit);1.755,860661;862,478035;613,372852;486,258713;431,733003;364,098794;
RSearch-w-NC(Dmin,+,Pmin);1.205,229633;545,428669;349,183398;254,860653;197,211725;193,556390;
RSearch-w-NC(Dmin,+,Dmin);310,299354;82,189635;49,994215;38,088435;32,188859;28,745994;
RSearch-w-NC(No,x,No);857,871235;387,077802;267,991967;231,928160;195,361426;185,136372;
RSearch-w-NC(No,x,Unit);306,752226;84,013148;52,408167;39,937634;33,701805;29,869692;
RSearch-w-NC(No,x,Pmin);848,618777;394,685120;270,284096;229,952973;210,846518;197,733292;
RSearch-w-NC(No,x,Dmin);264,304194;88,735756;67,013756;56,140229;52,288739;46,714547;
RSearch-w-NC(Unit,x,No);2.060,573473;906,088994;658,527240;532,400269;454,669984;400,887124;
RSearch-w-NC(Unit,x,Unit);333,068568;83,214775;47,338574;32,941532;25,289503;20,518287;
RSearch-w-NC(Unit,x,Pmin);2.060,573473;906,088994;658,527240;532,400269;454,669984;400,887124;
RSearch-w-NC(Unit,x,Dmin);1.934,961994;870,846544;627,504329;501,538176;439,758862;384,330300;
RSearch-w-NC(Pmin,x,No);847,523531;381,980123;267,625908;229,761572;209,396996;199,818801;
RSearch-w-NC(Pmin,x,Unit);306,752226;84,013148;52,408167;39,937634;33,701805;29,869692;
RSearch-w-NC(Pmin,x,Pmin);855,659801;371,867780;270,551153;236,183476;206,779677;192,461660;
RSearch-w-NC(Pmin,x,Dmin);264,304194;88,735756;67,013756;56,140229;52,288739;46,714547;
RSearch-w-NC(Dmin,x,No);1.223,182257;531,494602;342,636156;235,546442;182,672836;164,463054;
RSearch-w-NC(Dmin,x,Unit);306,752226;84,013148;52,408167;39,937634;33,701805;29,869692;
RSearch-w-NC(Dmin,x,Pmin);1.222,000556;526,294025;354,083741;239,776390;199,372862;173,288592;
RSearch-w-NC(Dmin,x,Dmin);326,561862;87,532144;54,470493;42,301336;36,089978;32,809835;
RSearch-w-Vaw(No,+,No);262,478574;130,604486;100,252067;80,107319;68,418582;65,168226;
RSearch-w-Vaw(No,+,Unit);1.755,860661;862,478034;613,671797;488,975087;436,391818;362,524813;
RSearch-w-Vaw(No,+,Pmin);1.473,086609;648,737752;440,037480;360,500467;313,341666;256,150520;
RSearch-w-Vaw(No,+,Dmin);262,478574;130,604486;100,252067;80,107319;68,418582;65,168226;
RSearch-w-Vaw(Unit,+,No);254,978494;129,330923;99,103876;84,692030;68,023794;66,890055;
RSearch-w-Vaw(Unit,+,Unit);243,866095;71,091848;43,744291;32,421507;26,252420;22,164801;
RSearch-w-Vaw(Unit,+,Pmin);1.147,440596;496,606430;351,398603;285,005665;261,571584;205,996347;
RSearch-w-Vaw(Unit,+,Dmin);254,978494;129,330923;99,103876;84,692030;68,023794;66,890055;
